组播测试,#genre#
佛山综合高清,http://www.kitcc.cn:8887/udp/239.253.43.57:5146
佛山综合,http://www.kitcc.cn:8887/udp/239.253.43.52:5146
佛山影视高清,http://www.kitcc.cn:8887/udp/239.253.43.56:5146
佛山影视,http://www.kitcc.cn:8887/udp/239.253.43.51:5146
佛山顺德高清,http://www.kitcc.cn:8887/udp/239.253.43.55:5146
佛山顺德,http://www.kitcc.cn:8887/udp/239.253.43.50:5146
佛山南海高清,http://www.kitcc.cn:8887/udp/239.253.43.54:5146
佛山南海,http://www.kitcc.cn:8887/udp/239.77.0.236:5146
佛山南海,http://www.kitcc.cn:8887/udp/239.253.43.49:5146
佛山公共,http://www.kitcc.cn:8887/udp/239.253.43.48:5146
